Team 1,Team 2,Winner,Margin (Runs),Margin Wickets,Ground,Match Date,Scorecard
Australia,Pakistan,Australia,36,0,Sydney,"Jan 3-6, 2010",Test # 1945
Australia,Pakistan,Australia,231,0,Hobart,"Jan 14-18, 2010",Test # 1947
Australia,Pakistan,Australia,150,0,Lord's,"Jul 13-16, 2010",Test # 1963
Australia,Pakistan,Pakistan,0,3,Leeds,"Jul 21-24, 2010",Test # 1965
England,Pakistan,England,354,0,Nottingham,"Jul 29-Aug 1, 2010",Test # 1967
England,Pakistan,England,0,9,Birmingham,"Aug 6-9, 2010",Test # 1969
England,Pakistan,Pakistan,0,4,The Oval,"Aug 18-21, 2010",Test # 1970
England,Pakistan,England,225,0,Lord's,"Aug 26-29, 2010",Test # 1971
Pakistan,South Africa,drawn,0,0,Dubai (DSC),"Nov 12-16, 2010",Test # 1976
Pakistan,South Africa,drawn,0,0,Abu Dhabi,"Nov 20-24, 2010",Test # 1979
New Zealand,Pakistan,Pakistan,0,10,Hamilton,"Jan 7-9, 2011",Test # 1990
New Zealand,Pakistan,drawn,0,0,Wellington,"Jan 15-19, 2011",Test # 1991
West Indies,Pakistan,West Indies,40,0,Providence,"May 12-15, 2011",Test # 1992
West Indies,Pakistan,Pakistan,196,0,Basseterre,"May 20-24, 2011",Test # 1993
Zimbabwe,Pakistan,Pakistan,7,7,Bulawayo,"Sep 1-5, 2011",Test # 2006
Pakistan,Sri Lanka,drawn,0,0,Abu Dhabi,"Oct 18-22, 2011",Test # 2009
Pakistan,Sri Lanka,Pakistan,9,7,Dubai (DSC),"Oct 26-29, 2011",Test # 2011
Pakistan,Sri Lanka,drawn,0,0,Sharjah,"Nov 3-7, 2011",Test # 2014
Bangladesh,Pakistan,Pakistan,184,0,Chattogram,"Dec 9-12, 2011",Test # 2022
Bangladesh,Pakistan,Pakistan,0,7,Dhaka,"Dec 17-21, 2011",Test # 2024
England,Pakistan,Pakistan,0,10,Dubai (DSC),"Jan 17-19, 2012",Test # 2030
England,Pakistan,Pakistan,72,0,Abu Dhabi,"Jan 25-28, 2012",Test # 2032
England,Pakistan,Pakistan,71,0,Dubai (DSC),"Feb 3-6, 2012",Test # 2034
Sri Lanka,Pakistan,Sri Lanka,269,0,Galle,"Jun 22-25, 2012",Test # 2046
Sri Lanka,Pakistan,drawn,0,0,Colombo (SSC),"Jun 30-Jul 4, 2012",Test # 2047
Sri Lanka,Pakistan,drawn,0,0,Pallekele,"Jul 8-12, 2012",Test # 2048
South Africa,Pakistan,South Africa,211,0,Johannesburg,"Feb 1-4, 2013",Test # 2072
South Africa,Pakistan,South Africa,0,4,Cape Town,"Feb 14-17, 2013",Test # 2073
South Africa,Pakistan,South Africa,18,0,Centurion,"Feb 22-24, 2013",Test # 2075
Zimbabwe,Pakistan,Pakistan,221,0,Harare,"Sep 3-7, 2013",Test # 2095
Zimbabwe,Pakistan,Zimbabwe,24,0,Harare,"Sep 10-14, 2013",Test # 2096
Pakistan,South Africa,Pakistan,0,7,Abu Dhabi,"Oct 14-17, 2013",Test # 2098
Pakistan,South Africa,South Africa,92,0,Dubai (DSC),"Oct 23-26, 2013",Test # 2100
Pakistan,Sri Lanka,drawn,0,0,Abu Dhabi,"Dec 31, 2013 - Jan 4, 2014",Test # 2112
Pakistan,Sri Lanka,drawn,0,0,Abu Dhabi,"Dec 31, 2013 - Jan 4, 2014",Test # 2112
Pakistan,Sri Lanka,Sri Lanka,0,9,Dubai (DSC),"Jan 8-12, 2014",Test # 2114
Pakistan,Sri Lanka,Pakistan,0,5,Sharjah,"Jan 16-20, 2014",Test # 2115
Sri Lanka,Pakistan,Sri Lanka,0,7,Galle,"Aug 6-10, 2014",Test # 2133
Sri Lanka,Pakistan,Sri Lanka,105,0,Colombo (SSC),"Aug 14-18, 2014",Test # 2136
Australia,Pakistan,Pakistan,221,0,Dubai (DSC),"Oct 22-26, 2014",Test # 2140
Australia,Pakistan,Pakistan,356,0,Abu Dhabi,"Oct 30-Nov 3, 2014",Test # 2142
New Zealand,Pakistan,Pakistan,248,0,Abu Dhabi,"Nov 9-13, 2014",Test # 2144
New Zealand,Pakistan,drawn,0,0,Dubai (DSC),"Nov 17-21, 2014",Test # 2146
New Zealand,Pakistan,New Zealand,80,0,Sharjah,"Nov 26-30, 2014",Test # 2147
Bangladesh,Pakistan,drawn,0,0,Khulna,"Apr 28-May 2, 2015",Test # 2159
Bangladesh,Pakistan,Pakistan,328,0,Dhaka,"May 6-9, 2015",Test # 2161
Sri Lanka,Pakistan,Pakistan,10,10,Galle,"Jun 17-21, 2015",Test # 2167
Sri Lanka,Pakistan,Sri Lanka,0,7,Colombo (PSS),"Jun 25-29, 2015",Test # 2168
Sri Lanka,Pakistan,Pakistan,0,7,Pallekele,"Jul 3-7, 2015",Test # 2169
England,Pakistan,drawn,0,0,Abu Dhabi,"Oct 13-17, 2015",Test # 2180
England,Pakistan,Pakistan,178,0,Dubai (DSC),"Oct 22-26, 2015",Test # 2183
England,Pakistan,Pakistan,127,0,Sharjah,"Nov 1-5, 2015",Test # 2184
England,Pakistan,Pakistan,75,0,Lord's,"Jul 14-17, 2016",Test # 2206
England,Pakistan,England,330,0,Manchester,"Jul 22-25, 2016",Test # 2208
England,Pakistan,England,141,0,Birmingham,"Aug 3-7, 2016",Test # 2212
England,Pakistan,Pakistan,0,10,The Oval,"Aug 11-14, 2016",Test # 2216
Pakistan,West Indies,Pakistan,56,0,Dubai (DSC),"Oct 13-17, 2016",Test # 2224
Pakistan,West Indies,Pakistan,133,0,Abu Dhabi,"Oct 21-25, 2016",Test # 2226
Pakistan,West Indies,West Indies,0,5,Sharjah,"Oct 30-Nov 3, 2016",Test # 2229
New Zealand,Pakistan,New Zealand,0,8,Christchurch,"Nov 17-20, 2016",Test # 2234
New Zealand,Pakistan,New Zealand,138,0,Hamilton,"Nov 25-29, 2016",Test # 2237
Australia,Pakistan,Australia,39,0,Brisbane,"Dec 15-19, 2016",Test # 2240
Australia,Pakistan,Australia,18,0,Melbourne,"Dec 26-30, 2016",Test # 2242
Australia,Pakistan,Australia,220,0,Sydney,"Jan 3-7, 2017",Test # 2245
West Indies,Pakistan,Pakistan,0,7,Kingston,"Apr 21-25, 2017",Test # 2259
West Indies,Pakistan,West Indies,106,0,Bridgetown,"Apr 30-May 4, 2017",Test # 2260
West Indies,Pakistan,Pakistan,101,0,Roseau,"May 10-14, 2017",Test # 2261
Pakistan,Sri Lanka,Sri Lanka,21,0,Abu Dhabi,"Sep 28-Oct 2, 2017",Test # 2275
Pakistan,Sri Lanka,Sri Lanka,68,0,Dubai (DSC),"Oct 6-10, 2017",Test # 2278
Ireland,Pakistan,Pakistan,0,5,Dublin (Malahide),"May 11-15, 2018",Test # 2303
England,Pakistan,Pakistan,0,9,Lord's,"May 24-27, 2018",Test # 2304
England,Pakistan,England,55,0,Leeds,"Jun 1-3, 2018",Test # 2305
Australia,Pakistan,drawn,0,0,Dubai (DSC),"Oct 7-11, 2018",Test # 2320
Australia,Pakistan,Pakistan,373,0,Abu Dhabi,"Oct 16-19, 2018",Test # 2322
New Zealand,Pakistan,New Zealand,4,0,Abu Dhabi,"Nov 16-19, 2018",Test # 2327
New Zealand,Pakistan,Pakistan,16,0,Dubai (DSC),"Nov 24-27, 2018",Test # 2330
New Zealand,Pakistan,New Zealand,123,0,Abu Dhabi,"Dec 3-7, 2018",Test # 2332
South Africa,Pakistan,South Africa,0,6,Centurion,"Dec 26-28, 2018",Test # 2338
South Africa,Pakistan,South Africa,0,9,Cape Town,"Jan 3-6, 2019",Test # 2340
South Africa,Pakistan,South Africa,107,0,Johannesburg,"Jan 11-14, 2019",Test # 2341
Australia,Pakistan,Australia,5,0,Brisbane,"Nov 21-24, 2019",Test # 2368
Australia,Pakistan,Australia,48,0,Adelaide,"Nov 29-Dec 2, 2019",Test # 2372
Pakistan,Sri Lanka,drawn,0,0,Rawalpindi,"Dec 11-15, 2019",Test # 2373
Pakistan,Sri Lanka,Pakistan,263,0,Karachi,"Dec 19-23, 2019",Test # 2375
Pakistan,Bangladesh,Pakistan,44,0,Rawalpindi,"Feb 7-10, 2020",Test # 2384
England,Pakistan,England,0,3,Manchester,"Aug 5-8, 2020",Test # 2391
England,Pakistan,drawn,0,0,Southampton,"Aug 13-17, 2020",Test # 2392
England,Pakistan,drawn,0,0,Southampton,"Aug 21-25, 2020",Test # 2393
